WorkItemKey,Workstream,Stage,UrgencyBand,Lead,Contributors,IntakeDate,PlanStart,PlanEnd,DoneDate,SLAFlag,LastUpdate
1,Workstream 1,Stage A,Urgency 2,Lead A,"Contributor A; Contributor D",2025-11-04,2025-11-05,2025-11-20,,SLA_OK,2025-11-12
2,Workstream 2,Stage B,Urgency 1,Lead B,"Contributor B",2025-11-06,2025-11-08,2025-11-18,,PAST_DUE,2025-11-25
3,Workstream 3,Stage C,Urgency 3,Lead C,"Contributor C; Contributor E",2025-10-15,2025-10-16,2025-10-31,2025-10-30,SLA_OK,2025-10-30
4,Workstream 4,Stage C,Urgency 2,Lead D,"Contributor F",2025-10-20,2025-10-22,2025-11-05,2025-11-10,PAST_DUE,2025-11-10
5,Workstream 5,Stage A,Urgency 0,Lead E,"Contributor G",2025-12-01,2025-12-02,2025-12-20,,SLA_OK,2025-12-05
6,Workstream 6,Stage B,Urgency 2,Lead F,"Contributor H; Contributor I",2025-11-10,2025-11-12,2025-11-28,,SLA_OK,2025-11-22
7,Workstream 7,Stage D,Urgency 1,Lead G,"Contributor J",2025-09-05,2025-09-06,2025-09-25,,VOID,2025-09-12
8,Workstream 8,Stage B,Urgency 3,Lead H,"Contributor K; Contributor L",2025-11-14,2025-11-15,2025-11-27,,PAST_DUE,2025-12-02
9,Workstream 1,Stage A,Urgency 1,Lead A,"Contributor A",2025-12-10,2025-12-10,2025-12-30,,SLA_OK,2025-12-16
10,Workstream 2,Stage C,Urgency 2,Lead B,"Contributor B; Contributor D",2025-10-03,2025-10-04,2025-10-20,2025-10-18,SLA_OK,2025-10-18
11,Workstream 3,Stage B,Urgency 0,Lead C,"Contributor C",2025-11-21,2025-11-22,2025-12-05,,SLA_OK,2025-11-28
12,Workstream 4,Stage A,Urgency 3,Lead D,"Contributor E; Contributor F",2025-11-01,2025-11-02,2025-11-12,,PAST_DUE,2025-11-20
13,Workstream 5,Stage C,Urgency 1,Lead E,"Contributor G; Contributor H",2025-09-12,2025-09-14,2025-10-01,2025-10-01,SLA_OK,2025-10-01
14,Workstream 6,Stage B,Urgency 2,Lead F,"Contributor I",2025-12-03,2025-12-04,2025-12-18,,SLA_OK,2025-12-08
15,Workstream 7,Stage A,Urgency 1,Lead G,"Contributor J; Contributor K",2025-11-27,2025-11-28,2025-12-12,,SLA_OK,2025-12-01
16,Workstream 8,Stage C,Urgency 3,Lead H,"Contributor L",2025-08-02,2025-08-05,2025-08-20,2025-08-25,PAST_DUE,2025-08-25
17,Workstream 1,Stage B,Urgency 2,Lead A,"Contributor D; Contributor E",2025-11-16,2025-11-18,2025-12-02,,SLA_OK,2025-11-23
18,Workstream 2,Stage A,Urgency 0,Lead B,"Contributor B",2025-12-15,2025-12-16,2026-01-10,,SLA_OK,2025-12-20
19,Workstream 3,Stage D,Urgency 2,Lead C,"Contributor C; Contributor F",2025-07-10,2025-07-12,2025-07-30,,VOID,2025-07-18
20,Workstream 4,Stage B,Urgency 1,Lead D,"Contributor A",2025-11-08,2025-11-09,2025-11-24,,PAST_DUE,2025-12-03
21,Workstream 5,Stage C,Urgency 2,Lead E,"Contributor G",2025-10-11,2025-10-12,2025-10-28,2025-10-28,SLA_OK,2025-10-28
22,Workstream 6,Stage A,Urgency 3,Lead F,"Contributor H; Contributor I",2025-11-03,2025-11-04,2025-11-17,,PAST_DUE,2025-11-26
23,Workstream 7,Stage B,Urgency 2,Lead G,"Contributor J",2025-12-05,2025-12-06,2025-12-22,,SLA_OK,2025-12-10
24,Workstream 8,Stage C,Urgency 1,Lead H,"Contributor K",2025-09-21,2025-09-22,2025-10-10,2025-10-09,SLA_OK,2025-10-09
25,Workstream 1,Stage A,Urgency 2,Lead A,"Contributor A; Contributor L",2025-11-29,2025-11-30,2025-12-15,,SLA_OK,2025-12-04
26,Workstream 2,Stage B,Urgency 3,Lead B,"Contributor D",2025-10-25,2025-10-26,2025-11-08,,PAST_DUE,2025-11-18
27,Workstream 3,Stage C,Urgency 0,Lead C,"Contributor C",2025-06-01,2025-06-02,2025-06-20,2025-06-20,SLA_OK,2025-06-20
28,Workstream 4,Stage B,Urgency 1,Lead D,"Contributor E; Contributor F",2025-12-12,2025-12-13,2025-12-28,,SLA_OK,2025-12-18
29,Workstream 5,Stage A,Urgency 2,Lead E,"Contributor G; Contributor H",2025-10-31,2025-11-01,2025-11-14,,PAST_DUE,2025-11-22
30,Workstream 6,Stage C,Urgency 3,Lead F,"Contributor I",2025-08-18,2025-08-19,2025-09-05,2025-09-10,PAST_DUE,2025-09-10
31,Workstream 7,Stage B,Urgency 0,Lead G,"Contributor J; Contributor K",2025-11-12,2025-11-13,2025-11-30,,SLA_OK,2025-11-20
32,Workstream 8,Stage A,Urgency 1,Lead H,"Contributor L",2025-12-20,2025-12-21,2026-01-05,,SLA_OK,2025-12-26
33,Workstream 1,Stage C,Urgency 2,Lead A,"Contributor A; Contributor D",2025-09-02,2025-09-03,2025-09-18,2025-09-18,SLA_OK,2025-09-18
34,Workstream 2,Stage B,Urgency 2,Lead B,"Contributor B; Contributor E",2025-11-18,2025-11-19,2025-12-03,,SLA_OK,2025-11-27
35,Workstream 3,Stage A,Urgency 3,Lead C,"Contributor C; Contributor F",2025-10-07,2025-10-08,2025-10-22,,PAST_DUE,2025-11-01
36,Workstream 4,Stage C,Urgency 1,Lead D,"Contributor A",2025-07-22,2025-07-23,2025-08-10,2025-08-10,SLA_OK,2025-08-10
37,Workstream 5,Stage B,Urgency 2,Lead E,"Contributor G",2025-12-02,2025-12-03,2025-12-19,,SLA_OK,2025-12-09
38,Workstream 6,Stage A,Urgency 0,Lead F,"Contributor H; Contributor I",2025-11-26,2025-11-27,2025-12-08,,SLA_OK,2025-12-02
39,Workstream 7,Stage C,Urgency 3,Lead G,"Contributor K",2025-05-14,2025-05-15,2025-06-01,2025-06-06,PAST_DUE,2025-06-06
40,Workstream 8,Stage B,Urgency 1,Lead H,"Contributor L; Contributor J",2025-10-28,2025-10-29,2025-11-12,,PAST_DUE,2025-11-25
41,Workstream 1,Stage A,Urgency 2,Lead A,"Contributor D",2025-12-06,2025-12-07,2025-12-23,,SLA_OK,2025-12-12
42,Workstream 2,Stage C,Urgency 2,Lead B,"Contributor B",2025-08-30,2025-09-01,2025-09-20,2025-09-19,SLA_OK,2025-09-19
43,Workstream 3,Stage B,Urgency 1,Lead C,"Contributor C; Contributor E",2025-11-02,2025-11-03,2025-11-16,,PAST_DUE,2025-11-28
44,Workstream 4,Stage A,Urgency 3,Lead D,"Contributor F",2025-10-12,2025-10-13,2025-10-27,,PAST_DUE,2025-11-05
45,Workstream 5,Stage C,Urgency 0,Lead E,"Contributor G",2025-06-18,2025-06-19,2025-07-05,2025-07-05,SLA_OK,2025-07-05
46,Workstream 6,Stage B,Urgency 2,Lead F,"Contributor H",2025-11-24,2025-11-25,2025-12-10,,SLA_OK,2025-12-01
47,Workstream 7,Stage A,Urgency 1,Lead G,"Contributor J; Contributor K",2025-12-09,2025-12-10,2025-12-27,,SLA_OK,2025-12-14
48,Workstream 8,Stage C,Urgency 3,Lead H,"Contributor L",2025-09-08,2025-09-09,2025-09-25,2025-10-02,PAST_DUE,2025-10-02
49,Workstream 1,Stage B,Urgency 2,Lead A,"Contributor A; Contributor E",2025-11-30,2025-12-01,2025-12-14,,SLA_OK,2025-12-06
50,Workstream 2,Stage D,Urgency 1,Lead B,"Contributor B",2025-08-05,2025-08-06,2025-08-22,,VOID,2025-08-12
